,cut,color,clarity,carat_weight,cut_quality,symmetry,polish,meas_width,girdle_min,girdle_max,total_sales_price,chosen_class,actual_class
0,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.85,STK,TK,200,b,a
1,Round,E,VVS2,0.09,Very Good,Excellent,Very Good,2.84,STK,STK,200,b,a
2,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.81,STK,TK,200,b,a
3,Round,F,VVS1,0.09,Excellent,Very Good,Very Good,0.0,unknown,unknown,204,c,a
4,Round,E,VVS1,0.09,Excellent,Very Good,Very Good,2.9,M,M,204,b,a
5,Round,I,VVS1,0.09,Very Good,Very Good,Very Good,2.9,TN,TN,212,b,a
6,Round,E,VS1,0.1,Very Good,Very Good,Very Good,2.91,M,TK,214,b,a
7,Round,F,VS2,0.1,Excellent,Very Good,Very Good,0.0,unknown,unknown,228,c,a
8,Round,E,VVS1,0.11,Excellent,Very Good,Very Good,0.0,unknown,unknown,230,c,a
9,Round,E,VVS1,0.09,Excellent,Excellent,Very Good,2.85,STK,TK,232,b,a
10,Round,E,VVS1,0.09,Excellent,Excellent,Excellent,2.88,M,STK,232,b,a
11,Round,M,SI2,0.3,Excellent,Excellent,Excellent,4.29,M,M,240,a,a
12,Round,L,I2,0.34,Excellent,Excellent,Very Good,4.48,M,STK,242,a,a
13,Round,J,VS2,0.17,Excellent,Very Good,Very Good,3.63,unknown,unknown,246,a,a
14,Oval,L,VS2,0.3,unknown,Very Good,Excellent,3.74,unknown,unknown,250,a,a
15,Round,K,SI2,0.3,Excellent,Excellent,Excellent,4.33,unknown,unknown,252,a,a
16,Round,E,VS1,0.12,Very Good,Very Good,Very Good,3.12,M,M,268,a,a
17,Round,L,I2,0.31,Very Good,Very Good,Very Good,4.28,unknown,unknown,274,a,a
18,Round,L,I1,0.4,Excellent,Very Good,Excellent,4.7,M,STK,276,b,a
19,Round,G,VS2,0.13,Very Good,Very Good,Excellent,3.22,M,unknown,280,b,a
20,Princess,F,I1,0.23,unknown,Very Good,Very Good,3.46,M,XTK,280,b,a
21,Round,E,VVS2,0.12,Very Good,Very Good,Very Good,3.16,M,M,284,a,a
22,Round,E,VVS2,0.12,Very Good,Very Good,Very Good,3.24,M,M,284,a,a
23,Oval,K,SI1,0.3,unknown,Very Good,Excellent,3.58,unknown,unknown,284,a,a
24,Pear,M,VS1,0.3,unknown,Very Good,Very Good,3.88,M,VTK,288,a,a
25,Round,I,SI1,0.18,Excellent,Excellent,Excellent,3.72,TN,M,288,a,a
26,Round,F,VVS1,0.13,Excellent,Very Good,Very Good,3.3,M,unknown,290,a,a
27,Round,D,VVS2,0.12,Very Good,Very Good,Very Good,3.22,TN,M,290,b,a
28,Round,D,VVS1,0.11,Very Good,Excellent,Excellent,3.16,M,M,300,b,a
29,Round,K,SI2,0.33,Very Good,Very Good,Very Good,4.48,unknown,unknown,306,a,a
30,Marquise,I,SI2,0.31,unknown,Very Good,Very Good,3.49,unknown,unknown,310,a,a
31,Round,G,I1,0.3,Excellent,Very Good,Excellent,4.32,M,STK,310,a,a
32,Round,L,SI2,0.35,Excellent,Excellent,Excellent,4.58,unknown,unknown,316,a,a
33,Round,J,VS2,0.19,Excellent,Excellent,Very Good,3.72,M,STK,316,a,a
34,Round,J,I2,0.31,Excellent,Excellent,Excellent,4.36,TN,STK,318,a,a
35,Round,M,SI2,0.41,Excellent,Excellent,Excellent,4.82,unknown,unknown,320,b,a
36,Marquise,L,VS2,0.35,unknown,Very Good,Very Good,3.76,unknown,unknown,320,a,a
37,Round,F,VS2,0.18,Very Good,Excellent,Very Good,3.68,unknown,unknown,322,a,a
38,Round,L,SI2,0.3,Excellent,Very Good,Excellent,4.31,unknown,unknown,324,a,a
39,Marquise,unknown,I1,0.3,unknown,Good,Good,3.24,unknown,unknown,324,b,a
40,Round,J,I1,0.3,Excellent,Excellent,Excellent,4.36,M,STK,326,a,a
41,Round,M,SI2,0.37,Excellent,Excellent,Excellent,0.0,unknown,unknown,326,c,a
42,Round,D,VS1,0.14,Excellent,Very Good,Very Good,0.0,unknown,unknown,326,c,a
43,Round,D,VVS1,0.13,Very Good,Very Good,Very Good,3.17,STK,TK,326,b,a
44,Round,D,VVS1,0.13,Very Good,Very Good,Excellent,3.35,M,STK,326,a,a
45,Pear,L,VS1,0.3,unknown,Very Good,Excellent,3.74,unknown,unknown,326,a,a
46,Princess,M,SI1,0.3,unknown,Very Good,Very Good,3.71,M,M,328,a,a
47,Round,E,VVS1,0.12,Excellent,Excellent,Excellent,3.2,M,M,328,a,a
48,Round,M,VS2,0.3,Very Good,Very Good,Excellent,4.28,M,STK,330,a,a
49,Round,F,VVS1,0.14,Excellent,Very Good,Excellent,0.0,unknown,unknown,330,c,a
50,Round,E,VVS2,0.14,Very Good,Very Good,Very Good,0.0,unknown,unknown,330,c,a
51,Round,D,VVS2,0.14,Excellent,Very Good,Very Good,0.0,unknown,unknown,330,c,a
