,cut,color,clarity,carat_weight,cut_quality,symmetry,polish,meas_width,girdle_min,girdle_max,total_sales_price,chosen_class,actual_class
0,Round,E,VVS2,0.09,Excellent,Very Good,Very Good,2.87,M,M,200,b,a
1,Round,E,VVS2,0.09,Excellent,Very Good,Very Good,2.88,M,STK,200,b,a
2,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.89,STK,TK,200,b,a
3,Round,E,VVS2,0.09,Excellent,Very Good,Very Good,2.92,M,M,200,b,a
4,Round,E,VVS1,0.09,Very Good,Very Good,Very Good,2.82,STK,STK,204,b,a
5,Round,J,I1,0.3,Very Good,Very Good,Very Good,4.32,unknown,unknown,212,a,a
6,Round,I,VVS1,0.09,Very Good,Very Good,Very Good,2.9,TN,TN,212,b,a
7,Round,G,VVS2,0.1,Very Good,Very Good,Very Good,2.98,STK,STK,212,b,a
8,Round,E,VVS2,0.09,Excellent,Very Good,Excellent,2.93,M,M,228,b,a
9,Round,E,VVS2,0.11,Very Good,Very Good,Very Good,0.0,unknown,unknown,230,c,a
10,Round,G,VVS2,0.1,Excellent,Very Good,Very Good,3.08,M,unknown,236,b,a
11,Oval,L,VS2,0.3,unknown,Very Good,Excellent,3.74,unknown,unknown,250,a,a
12,Round,K,I1,0.31,Excellent,Very Good,Very Good,4.24,unknown,unknown,262,a,a
13,Round,F,VS1,0.12,Very Good,Very Good,Very Good,3.2,M,M,262,a,a
14,Round,I,VS1,0.13,Very Good,Very Good,Very Good,3.41,TN,TN,270,a,a
15,Oval,K,SI1,0.3,unknown,Very Good,Excellent,3.72,unknown,unknown,272,a,a
16,Round,D,VS1,0.12,Very Good,Very Good,Very Good,3.24,M,M,274,a,a
17,Round,L,I1,0.4,Excellent,Very Good,Excellent,4.7,M,STK,276,b,a
18,Round,G,VS1,0.13,Very Good,Very Good,Very Good,3.26,M,M,278,a,a
19,Round,H,VS2,0.15,Very Good,Very Good,Very Good,3.38,M,STK,284,a,a
20,Round,I,SI1,0.18,Excellent,Excellent,Excellent,3.72,TN,M,288,a,a
21,Round,F,VS1,0.13,Very Good,Very Good,Very Good,3.31,TN,M,290,a,a
22,Round,D,VVS2,0.12,Very Good,Very Good,Very Good,3.22,TN,M,290,a,a
23,Round,K,SI2,0.3,Excellent,Excellent,Excellent,4.34,M,STK,292,a,a
24,Emerald,L,SI1,0.3,unknown,Very Good,Excellent,3.04,unknown,unknown,296,a,a
25,Emerald,M,VVS2,0.31,unknown,Very Good,Excellent,3.25,unknown,unknown,296,a,a
26,Round,M,SI1,0.31,Excellent,Very Good,Very Good,4.41,unknown,unknown,298,a,a
27,Round,K,SI2,0.33,Very Good,Very Good,Very Good,4.48,unknown,unknown,306,a,a
28,Round,M,SI1,0.3,Excellent,Excellent,Excellent,4.27,unknown,unknown,306,a,a
29,Round,M,SI1,0.31,Excellent,Very Good,Very Good,4.37,M,STK,310,a,a
30,Marquise,I,SI2,0.31,unknown,Very Good,Very Good,3.49,unknown,unknown,310,a,a
31,Round,E,VVS2,0.13,Excellent,Very Good,Very Good,3.31,M,M,314,a,a
32,Round,M,SI1,0.3,Very Good,Excellent,Excellent,4.22,unknown,unknown,318,a,a
33,Heart,L,VS1,0.3,unknown,Very Good,Excellent,4.73,unknown,unknown,318,b,a
34,Round,J,SI2,0.21,Very Good,Very Good,Very Good,0.0,TN,STK,320,c,a
35,Round,M,VS2,0.31,Excellent,Excellent,Excellent,4.34,unknown,unknown,320,a,a
36,Round,M,VS2,0.31,Excellent,Excellent,Excellent,4.33,unknown,unknown,320,a,a
37,Marquise,L,VS2,0.35,unknown,Very Good,Very Good,3.76,unknown,unknown,320,a,a
38,Marquise,unknown,I1,0.3,unknown,Good,Good,3.24,unknown,unknown,324,b,a
39,Round,M,SI2,0.37,Excellent,Excellent,Excellent,0.0,unknown,unknown,326,c,a
40,Round,E,VS1,0.14,Very Good,Very Good,Very Good,0.0,unknown,unknown,326,c,a
41,Round,E,VS1,0.14,Excellent,Very Good,Very Good,0.0,unknown,unknown,326,c,a
42,Round,E,VS1,0.14,Excellent,Very Good,Very Good,0.0,unknown,unknown,326,c,a
43,Round,D,VVS1,0.13,Very Good,Very Good,Very Good,3.17,STK,TK,326,a,a
44,Round,J,I2,0.3,Very Good,Very Good,Very Good,4.25,M,TK,328,a,a
45,Round,E,VVS1,0.12,Excellent,Excellent,Excellent,3.2,M,M,328,a,a
46,Round,D,VVS2,0.12,Excellent,Excellent,Very Good,3.22,TN,M,328,a,a
47,Round,M,VS2,0.3,Very Good,Very Good,Excellent,4.28,M,STK,330,a,a
48,Round,M,VS2,0.3,Very Good,Very Good,Excellent,4.23,unknown,unknown,330,a,a
49,Round,F,VVS1,0.14,Excellent,Very Good,Excellent,0.0,unknown,unknown,330,c,a
