,cut,color,clarity,carat_weight,cut_quality,symmetry,polish,meas_width,girdle_min,girdle_max,total_sales_price,chosen_class,actual_class
0,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.89,STK,STK,200,b,a
1,Round,E,VVS2,0.09,Excellent,Very Good,Very Good,2.89,M,M,200,b,a
2,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.92,STK,TK,200,b,a
3,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.89,STK,TK,200,b,a
4,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.88,TN,STK,200,b,a
5,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.81,STK,TK,200,b,a
6,Round,L,I1,0.34,Excellent,Excellent,Excellent,0.0,unknown,unknown,204,c,a
7,Round,E,VVS1,0.09,Very Good,Very Good,Very Good,2.88,TK,TK,204,b,a
8,Round,E,VVS1,0.09,Very Good,Very Good,Excellent,2.87,M,M,204,b,a
9,Round,D,VVS2,0.09,Very Good,Very Good,Very Good,2.82,TK,TK,208,b,a
10,Round,G,VVS2,0.1,Very Good,Very Good,Very Good,2.98,STK,STK,212,b,a
11,Round,D,VS1,0.11,Excellent,Very Good,Excellent,0.0,unknown,unknown,222,c,a
12,Round,E,VS1,0.11,Excellent,Very Good,Very Good,0.0,unknown,unknown,222,c,a
13,Round,F,VS2,0.11,Excellent,Very Good,Excellent,0.0,unknown,unknown,222,c,a
14,Round,F,VS2,0.1,Very Good,Very Good,Very Good,0.0,unknown,unknown,228,c,a
15,Round,E,VVS1,0.11,Excellent,Very Good,Very Good,0.0,unknown,unknown,230,c,a
16,Round,E,VVS1,0.09,Excellent,Excellent,Excellent,2.94,M,M,232,b,a
17,Round,L,I2,0.34,Excellent,Excellent,Very Good,4.48,M,STK,242,a,a
18,Round,G,VVS1,0.11,Very Good,Very Good,Very Good,3.14,VTN,M,244,b,a
19,Round,E,SI1,0.12,Very Good,Very Good,Very Good,3.16,M,STK,262,a,a
20,Round,F,VS1,0.12,Very Good,Very Good,Very Good,3.2,M,M,262,a,a
21,Round,G,VVS2,0.12,Very Good,Very Good,Very Good,3.17,STK,TK,266,a,a
22,Round,L,I2,0.31,Very Good,Very Good,Very Good,4.28,unknown,unknown,274,a,a
23,Round,G,VS2,0.13,Very Good,Very Good,Excellent,3.22,M,unknown,280,a,a
24,Round,E,VVS2,0.12,Very Good,Very Good,Very Good,3.24,M,M,284,a,a
25,Round,H,SI3,0.23,Very Good,Very Good,Very Good,0.0,unknown,unknown,284,c,a
26,Oval,L,SI1,0.3,unknown,Very Good,Excellent,3.7,TN,VTK,288,a,a
27,Pear,M,VS1,0.3,unknown,Very Good,Very Good,3.88,M,VTK,288,a,a
28,Round,G,I1,0.3,Excellent,Very Good,Excellent,4.4,unknown,unknown,288,a,a
29,Round,E,VVS1,0.12,Very Good,Very Good,Very Good,3.18,M,M,290,a,a
30,Round,E,VS1,0.13,Excellent,Very Good,Very Good,3.24,M,STK,296,a,a
31,Round,M,I1,0.34,Very Good,Very Good,Very Good,4.49,TN,TK,300,a,a
32,Round,D,VS1,0.13,Very Good,Very Good,Very Good,3.34,M,M,302,a,a
33,Round,M,SI1,0.3,Excellent,Excellent,Excellent,4.33,unknown,unknown,306,a,a
34,Round,H,SI3,0.25,Very Good,Very Good,Very Good,0.0,unknown,unknown,308,c,a
35,Round,M,VS2,0.32,Excellent,Excellent,Excellent,4.44,unknown,unknown,310,a,a
36,Round,K,SI2,0.3,Very Good,Very Good,Excellent,4.27,unknown,unknown,312,a,a
37,Marquise,M,VS2,0.3,unknown,Very Good,Very Good,3.42,VTK,XTK,312,b,a
38,Round,E,VVS2,0.13,Very Good,Very Good,Very Good,3.28,M,M,314,a,a
39,Round,E,VVS2,0.13,Very Good,Very Good,Very Good,3.37,M,STK,314,a,a
40,Round,E,VVS2,0.13,Very Good,Very Good,Very Good,3.24,M,M,314,a,a
41,Round,J,SI1,0.19,Excellent,Very Good,Very Good,3.75,M,STK,316,a,a
42,Round,K,I1,0.3,Excellent,Excellent,Excellent,4.29,TN,STK,320,a,a
43,Marquise,L,VS2,0.35,unknown,Very Good,Very Good,3.76,unknown,unknown,320,a,a
44,Round,K,VS2,0.23,Very Good,Excellent,Excellent,3.88,unknown,unknown,322,a,a
45,Round,I,I1,0.3,Excellent,Very Good,Excellent,4.28,unknown,unknown,324,a,a
46,Round,J,I2,0.3,Excellent,Excellent,Excellent,4.36,M,STK,324,a,a
47,Round,D,SI2,0.15,Very Good,Very Good,Excellent,3.5,M,TK,324,a,a
48,Round,H,VVS1,0.14,Very Good,Very Good,Very Good,3.38,M,M,324,a,a
49,Marquise,unknown,I1,0.3,unknown,Good,Good,3.24,unknown,unknown,324,c,a
50,Round,J,I1,0.3,Excellent,Excellent,Excellent,4.36,M,STK,326,a,a
51,Round,E,VS2,0.14,Excellent,Very Good,Very Good,0.0,unknown,unknown,326,c,a
52,Round,D,VVS1,0.13,Very Good,Very Good,Very Good,3.17,STK,TK,326,a,a
53,Round,D,VVS2,0.12,Excellent,Excellent,Very Good,3.22,TN,M,328,a,a
54,Round,J,SI2,0.3,Very Good,Very Good,Very Good,4.19,unknown,unknown,328,a,a
55,Round,K,SI2,0.3,Very Good,Very Good,Excellent,4.25,unknown,unknown,330,a,a
56,Round,F,VVS1,0.14,Very Good,Very Good,Very Good,0.0,unknown,unknown,330,c,a
57,Round,D,VVS2,0.14,Excellent,Very Good,Very Good,0.0,unknown,unknown,330,c,a
58,Round,F,VVS2,0.14,Very Good,Very Good,Very Good,0.0,unknown,unknown,330,c,a
59,Round,M,VVS2,0.24,Excellent,Very Good,Very Good,4.0,unknown,unknown,332,a,a
60,Round,H,SI3,0.27,Very Good,Very Good,Very Good,0.0,unknown,unknown,334,c,a
61,Round,K,I1,0.3,Excellent,Excellent,Excellent,4.28,unknown,unknown,336,a,a
62,Round,K,I1,0.3,Excellent,Excellent,Excellent,4.36,unknown,unknown,336,a,a
63,Round,M,SI1,0.3,Very Good,Very Good,Excellent,4.19,M,TK,336,a,a
64,Round,K,I1,0.3,Very Good,Very Good,Excellent,4.31,unknown,unknown,336,a,a
65,Round,M,VS1,0.3,Excellent,Excellent,Excellent,4.33,unknown,unknown,338,a,a
66,Round,M,VS1,0.3,Very Good,Excellent,Excellent,4.27,STK,TK,340,a,a
67,Emerald,H,I2,0.49,unknown,Very Good,Very Good,4.09,STK,TK,344,b,a
68,Round,K,SI2,0.3,Excellent,Excellent,Excellent,4.34,unknown,unknown,344,a,a
69,Round,K,SI2,0.3,Excellent,Very Good,Excellent,4.26,unknown,unknown,344,a,a
70,Round,F,VVS2,0.13,Very Good,Very Good,Very Good,3.24,unknown,unknown,348,a,a
71,Emerald,J,VS2,0.32,unknown,Very Good,Very Good,3.27,STK,TK,352,a,a
72,Round,F,VVS1,0.13,Excellent,Excellent,Excellent,3.3,M,STK,354,a,a
73,Round,J,I1,0.31,Very Good,Very Good,Excellent,4.23,unknown,unknown,358,a,a
74,Round,K,I2,0.3,Excellent,Excellent,Excellent,4.34,unknown,unknown,358,a,a
