,cut,color,clarity,carat_weight,cut_quality,symmetry,polish,meas_width,girdle_min,girdle_max,total_sales_price,chosen_class,actual_class
0,Round,E,VVS2,0.09,Very Good,Very Good,Excellent,2.83,STK,STK,200,a,a
1,Round,E,VVS2,0.09,Excellent,Very Good,Very Good,2.89,M,M,200,a,a
2,Round,E,VVS2,0.09,Excellent,Very Good,Very Good,2.87,M,M,200,a,a
3,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.85,STK,TK,200,a,a
4,Round,E,VVS2,0.09,Very Good,Excellent,Very Good,2.84,STK,STK,200,a,a
5,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.91,STK,STK,200,a,a
6,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.94,M,M,200,a,a
7,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.81,STK,TK,200,a,a
8,Round,E,VVS1,0.08,Excellent,Excellent,Excellent,2.8,M,M,202,a,a
9,Round,I,VVS1,0.09,Very Good,Very Good,Very Good,2.9,TN,TN,212,a,a
10,Round,G,VVS2,0.1,Very Good,Very Good,Very Good,2.98,STK,STK,212,a,a
11,Round,D,VS2,0.09,Excellent,Very Good,Excellent,2.9,M,M,214,a,a
12,Round,D,VS1,0.11,Excellent,Very Good,Very Good,0.0,unknown,unknown,222,c,a
13,Round,F,VS2,0.11,Excellent,Very Good,Excellent,0.0,unknown,unknown,222,c,a
14,Round,E,VVS2,0.11,Very Good,Very Good,Very Good,0.0,unknown,unknown,230,c,a
15,Round,F,VVS2,0.11,Excellent,Very Good,Very Good,0.0,unknown,unknown,230,c,a
16,Round,J,I1,0.3,Very Good,Excellent,Excellent,0.0,unknown,unknown,240,c,a
17,Round,D,VS1,0.11,Very Good,Very Good,Excellent,3.1,TN,M,246,a,a
18,Oval,L,VS2,0.3,unknown,Very Good,Excellent,3.74,unknown,unknown,250,a,a
19,Round,M,SI1,0.31,Excellent,Excellent,Excellent,4.34,unknown,unknown,256,a,a
20,Round,E,SI1,0.12,Very Good,Very Good,Very Good,3.16,M,STK,262,a,a
21,Round,K,I1,0.31,Excellent,Very Good,Very Good,4.33,unknown,unknown,266,a,a
22,Round,L,I2,0.31,Very Good,Very Good,Very Good,4.28,unknown,unknown,274,a,a
23,Round,E,VVS2,0.12,Very Good,Very Good,Very Good,3.16,M,M,284,a,a
24,Oval,L,SI1,0.3,unknown,Very Good,Excellent,3.7,TN,VTK,288,a,a
25,Round,I,SI1,0.18,Excellent,Excellent,Excellent,3.72,TN,M,288,a,a
26,Round,F,VVS1,0.13,Excellent,Very Good,Very Good,3.3,M,unknown,290,a,a
27,Round,D,VVS2,0.12,Very Good,Very Good,Very Good,3.23,M,M,290,a,a
28,Round,D,VVS2,0.12,Very Good,Very Good,Very Good,3.22,TN,M,290,a,a
29,Round,J,I1,0.3,Excellent,Excellent,Excellent,4.36,TN,M,298,a,a
30,Round,D,VS1,0.13,Very Good,Very Good,Very Good,3.26,M,M,302,a,a
31,Round,M,SI1,0.3,Excellent,Excellent,Excellent,4.27,unknown,unknown,306,a,a
32,Heart,M,SI2,0.32,unknown,Very Good,Excellent,4.55,M,TK,308,a,a
33,Round,F,VVS2,0.13,Excellent,Very Good,Very Good,3.25,M,M,308,a,a
34,Round,G,I1,0.31,Excellent,Very Good,Excellent,4.35,unknown,unknown,314,a,a
35,Round,E,VVS2,0.13,Very Good,Very Good,Very Good,3.28,M,M,314,a,a
36,Round,E,VVS2,0.13,Excellent,Very Good,Very Good,3.34,M,STK,314,a,a
37,Round,M,VS2,0.31,Excellent,Excellent,Excellent,4.34,unknown,unknown,320,a,a
38,Marquise,L,VS2,0.35,unknown,Very Good,Very Good,3.76,unknown,unknown,320,a,a
39,Round,I,I1,0.3,Excellent,Very Good,Excellent,4.28,unknown,unknown,324,a,a
40,Round,F,SI3,0.24,Very Good,Very Good,Very Good,0.0,unknown,unknown,324,c,a
41,Round,E,I3,0.34,Excellent,Excellent,Excellent,4.54,TN,M,326,a,a
42,Round,E,VS1,0.14,Very Good,Very Good,Very Good,0.0,unknown,unknown,326,c,a
43,Round,E,VS2,0.14,Excellent,Very Good,Very Good,0.0,unknown,unknown,326,c,a
44,Round,D,VS1,0.14,Excellent,Very Good,Very Good,0.0,unknown,unknown,326,c,a
45,Round,D,VVS1,0.13,Very Good,Very Good,Excellent,3.34,M,STK,326,a,a
46,Round,D,VVS1,0.13,Very Good,Very Good,Very Good,3.17,STK,TK,326,a,a
47,Princess,G,I1,0.3,unknown,Very Good,Very Good,3.47,unknown,unknown,328,a,a
48,Round,E,VVS1,0.12,Excellent,Excellent,Excellent,3.2,M,M,328,a,a
49,Emerald,H,SI2,0.3,unknown,Very Good,Excellent,3.24,TK,VTK,330,b,a
50,Round,K,SI2,0.3,Excellent,Excellent,Excellent,4.36,unknown,unknown,330,a,a
51,Round,K,SI2,0.3,Excellent,Excellent,Excellent,4.28,M,STK,330,a,a
52,Round,F,VVS1,0.14,Very Good,Very Good,Very Good,0.0,unknown,unknown,330,c,a
53,Round,E,VVS2,0.14,Very Good,Very Good,Very Good,0.0,unknown,unknown,330,c,a
54,Round,F,VVS2,0.14,Very Good,Very Good,Very Good,0.0,unknown,unknown,330,c,a
55,Round,M,SI2,0.3,Very Good,Very Good,Very Good,4.2,STK,TK,332,a,a
