,cut,color,clarity,carat_weight,cut_quality,symmetry,polish,meas_width,girdle_min,girdle_max,total_sales_price,chosen_class,actual_class
0,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.89,STK,STK,200,a,a
1,Round,E,VVS2,0.09,Very Good,Very Good,Excellent,2.83,STK,STK,200,a,a
2,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.88,STK,STK,200,a,a
3,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.89,STK,TK,200,a,a
4,Round,F,VVS1,0.09,Excellent,Very Good,Very Good,2.87,M,M,200,a,a
5,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.9,STK,STK,200,a,a
6,Round,E,VVS2,0.09,Very Good,Very Good,Very Good,2.81,STK,TK,200,a,a
7,Round,E,VVS1,0.09,Excellent,Very Good,Very Good,2.9,M,M,204,a,a
8,Round,E,VVS1,0.09,Very Good,Very Good,Very Good,2.82,STK,STK,204,a,a
9,Round,E,VVS1,0.09,Very Good,Very Good,Excellent,2.87,M,M,204,a,a
10,Round,I,VVS1,0.09,Very Good,Very Good,Very Good,2.9,TN,TN,212,a,a
11,Round,G,VS2,0.1,Excellent,Very Good,Very Good,3.0,M,unknown,216,a,a
12,Round,D,VS1,0.11,Excellent,Very Good,Excellent,0.0,unknown,unknown,222,c,a
13,Round,E,VS2,0.11,Excellent,Very Good,Excellent,0.0,unknown,unknown,222,c,a
14,Round,F,VS2,0.11,Excellent,Very Good,Excellent,0.0,unknown,unknown,222,c,a
15,Round,F,VS2,0.1,Excellent,Very Good,Very Good,0.0,unknown,unknown,228,c,a
16,Round,E,VVS2,0.09,Excellent,Very Good,Excellent,2.93,M,M,228,a,a
17,Round,E,VS1,0.13,Excellent,Very Good,Excellent,0.0,unknown,unknown,240,c,a
18,Round,G,VVS1,0.11,Very Good,Very Good,Very Good,3.11,M,STK,244,a,a
19,Round,J,VS2,0.17,Excellent,Very Good,Very Good,3.63,unknown,unknown,246,a,a
20,Round,D,VS1,0.11,Very Good,Very Good,Excellent,3.1,TN,M,246,a,a
